CZ_LNK_KEY,BASE_YYMM,BILL_ACNT_NO,ENTR_NO,CUST_NO,YY10_AGELV_ID,CUST_AGE,PP_CD,PP_NM,ENTR_STTS_CD,FRST_ENTR_DT,SPPS_AMT,SMLS_STLM_AMT,TOT_BILL_AMT,DP_LOAD_DTTM,DP_LOAD_USER_ID,SEX_DV_CD
110001,202609,BILL-110001,ENTR-VAS-BASELINE-0001,110001,2,26,5G-STD-01,5G 스탠다드,A,20230801,6800,0,81800,2026-09-04T23:00:00,synthetic-seeder,M
110002,202609,BILL-110002,ENTR-VAS-BASELINE-0002,110002,2,27,5G-STD-01,5G 스탠다드,A,20230801,6800,0,81800,2026-09-05T23:00:00,synthetic-seeder,F
110003,202609,BILL-110003,ENTR-VAS-BASELINE-0003,110003,2,28,5G-STD-01,5G 스탠다드,A,20230801,6800,0,81800,2026-09-06T23:00:00,synthetic-seeder,M
110004,202609,BILL-110004,ENTR-VAS-BASELINE-0004,110004,2,29,5G-STD-01,5G 스탠다드,A,20230801,6800,0,81800,2026-09-07T23:00:00,synthetic-seeder,F
110005,202609,BILL-110005,ENTR-VAS-BASELINE-0005,110005,3,30,5G-STD-01,5G 스탠다드,A,20230801,6800,0,81800,2026-09-08T23:00:00,synthetic-seeder,M
110006,202609,BILL-110006,ENTR-VAS-BASELINE-0006,110006,3,31,5G-STD-01,5G 스탠다드,A,20230801,6800,0,81800,2026-09-09T23:00:00,synthetic-seeder,F
110007,202609,BILL-110007,ENTR-VAS-BASELINE-0007,110007,3,32,5G-STD-01,5G 스탠다드,A,20230801,6800,0,81800,2026-09-10T23:00:00,synthetic-seeder,M
110008,202609,BILL-110008,ENTR-VAS-BASELINE-0008,110008,3,33,5G-STD-01,5G 스탠다드,A,20230801,6800,0,81800,2026-09-04T23:00:00,synthetic-seeder,F
110009,202609,BILL-110009,ENTR-VAS-BASELINE-0009,110009,3,34,5G-STD-01,5G 스탠다드,A,20230801,6800,0,81800,2026-09-05T23:00:00,synthetic-seeder,M
110010,202609,BILL-110010,ENTR-VAS-BASELINE-0010,110010,3,35,5G-STD-01,5G 스탠다드,A,20230801,6800,0,81800,2026-09-06T23:00:00,synthetic-seeder,F
110011,202609,BILL-110011,ENTR-VAS-BASELINE-0011,110011,3,36,5G-STD-01,5G 스탠다드,A,20230801,6800,0,81800,2026-09-07T23:00:00,synthetic-seeder,M
110012,202609,BILL-110012,ENTR-VAS-BASELINE-0012,110012,3,37,5G-STD-01,5G 스탠다드,A,20230801,6800,0,81800,2026-09-08T23:00:00,synthetic-seeder,F
110013,202609,BILL-110013,ENTR-VAS-BASELINE-0013,110013,3,38,5G-STD-01,5G 스탠다드,A,20230801,6800,0,81800,2026-09-09T23:00:00,synthetic-seeder,M
110014,202609,BILL-110014,ENTR-VAS-BASELINE-0014,110014,3,39,5G-STD-01,5G 스탠다드,A,20230801,6800,0,81800,2026-09-10T23:00:00,synthetic-seeder,F
110015,202609,BILL-110015,ENTR-VAS-BASELINE-0015,110015,4,40,5G-STD-01,5G 스탠다드,A,20230801,6800,0,81800,2026-09-04T23:00:00,synthetic-seeder,M
110016,202609,BILL-110016,ENTR-VAS-BASELINE-0016,110016,4,41,5G-STD-01,5G 스탠다드,A,20230801,6800,0,81800,2026-09-05T23:00:00,synthetic-seeder,F
110017,202609,BILL-110017,ENTR-VAS-BASELINE-0017,110017,4,42,5G-STD-01,5G 스탠다드,A,20230801,6800,0,81800,2026-09-06T23:00:00,synthetic-seeder,M
110018,202609,BILL-110018,ENTR-VAS-BASELINE-0018,110018,4,43,5G-STD-01,5G 스탠다드,A,20230801,6800,0,81800,2026-09-07T23:00:00,synthetic-seeder,F
110019,202609,BILL-110019,ENTR-VAS-BASELINE-0019,110019,4,44,5G-STD-01,5G 스탠다드,A,20230801,6800,0,81800,2026-09-08T23:00:00,synthetic-seeder,M
110020,202609,BILL-110020,ENTR-VAS-BASELINE-0020,110020,4,45,5G-STD-01,5G 스탠다드,A,20230801,6800,0,81800,2026-09-09T23:00:00,synthetic-seeder,F
110021,202609,BILL-110021,ENTR-VAS-BASELINE-0021,110021,4,46,5G-STD-01,5G 스탠다드,A,20230801,6800,0,81800,2026-09-10T23:00:00,synthetic-seeder,M
110022,202609,BILL-110022,ENTR-VAS-BASELINE-0022,110022,4,47,5G-STD-01,5G 스탠다드,A,20230801,6800,0,81800,2026-09-04T23:00:00,synthetic-seeder,F
110023,202609,BILL-110023,ENTR-VAS-BASELINE-0023,110023,4,48,5G-STD-01,5G 스탠다드,A,20230801,6800,0,81800,2026-09-05T23:00:00,synthetic-seeder,M
110024,202609,BILL-110024,ENTR-VAS-BASELINE-0024,110024,4,49,5G-STD-01,5G 스탠다드,A,20230801,6800,0,81800,2026-09-06T23:00:00,synthetic-seeder,F
110025,202609,BILL-110025,ENTR-VAS-BASELINE-0025,110025,5,50,5G-STD-01,5G 스탠다드,A,20230801,6800,0,81800,2026-09-07T23:00:00,synthetic-seeder,M
110026,202609,BILL-110026,ENTR-VAS-BASELINE-0026,110026,5,51,5G-STD-01,5G 스탠다드,A,20230801,6800,0,81800,2026-09-08T23:00:00,synthetic-seeder,F
110027,202609,BILL-110027,ENTR-VAS-BASELINE-0027,110027,5,52,5G-STD-01,5G 스탠다드,A,20230801,6800,0,81800,2026-09-09T23:00:00,synthetic-seeder,M
110028,202609,BILL-110028,ENTR-VAS-BASELINE-0028,110028,5,53,5G-STD-01,5G 스탠다드,A,20230801,6800,0,81800,2026-09-10T23:00:00,synthetic-seeder,F
110029,202609,BILL-110029,ENTR-VAS-BASELINE-0029,110029,5,54,5G-STD-01,5G 스탠다드,A,20230801,6800,0,81800,2026-09-04T23:00:00,synthetic-seeder,M
