CSZ_LNK_KEY,P_YYYYMM,ENTR_NO,CUST_NO,BILL_ACNT_NO,PROD_NO,AG10_AGJU_ID,CUST_AGE,SEX_DIVS_CD,SEX_DIVS_NM,PP_CD,PP_NM,ENTR_STUS_CD,ENTR_STUS_NM,RMNG_NATN_NM,DPTR_DT,HMCML_DT,ABRD_STAY_DAYS,SPPS_CD,SPPS_NM,SPPS_ENTR_STUS_CD,SPPS_ENTR_STUS_NM,SPPS_FRST_ENTR_DT,SPPS_STRT_DT,SPPS_END_DT,RTNG_STRT_DT,RTNG_END_DT,PP_USE_DAYS,MERT_USE_DAYS,DATA_USAG,RMNG_LTTR_CNT,BQ_LOAD_DTTM,BQ_LOAD_USER_ID
310009,202609,ENTR-ROAMING-BASELINE-0009,310009,BILL-310009,SYN-ROAM-4GB,3,34,MALE,남자,5G-STD-01,5G 스탠다드,A,개통,베트남,20260904,,0,SYN-ROAM-4GB,합성 로밍패스 4GB,A,개통,20260904,20260904,99991231,20260904,,1,0,129000000,1,2026-09-04T21:00:00,synthetic-seeder
310004,202609,ENTR-ROAMING-BASELINE-0004,310004,BILL-310004,SYN-ROAM-4GB,2,29,FEMALE,여자,5G-STD-01,5G 스탠다드,A,개통,일본,20260904,,0,SYN-ROAM-4GB,합성 로밍패스 4GB,A,개통,20260904,20260904,99991231,20260904,,1,0,124000000,1,2026-09-04T21:00:00,synthetic-seeder
310005,202609,ENTR-ROAMING-BASELINE-0005,310005,BILL-310005,SYN-ROAM-4GB,3,30,MALE,남자,5G-STD-01,5G 스탠다드,A,개통,베트남,20260904,,0,SYN-ROAM-4GB,합성 로밍패스 4GB,A,개통,20260904,20260904,99991231,,,0,0,0,0,2026-09-04T21:00:00,synthetic-seeder
310016,202609,ENTR-ROAMING-BASELINE-0016,310016,BILL-310016,SYN-ROAM-4GB,4,41,FEMALE,여자,5G-STD-01,5G 스탠다드,A,개통,일본,20260904,,0,SYN-ROAM-4GB,합성 로밍패스 4GB,A,개통,20260904,20260904,99991231,20260904,,1,0,136000000,1,2026-09-04T21:00:00,synthetic-seeder
310012,202609,ENTR-ROAMING-BASELINE-0012,310012,BILL-310012,SYN-ROAM-4GB,3,37,FEMALE,여자,5G-STD-01,5G 스탠다드,A,개통,일본,20260904,,0,SYN-ROAM-4GB,합성 로밍패스 4GB,A,개통,20260904,20260904,99991231,20260904,,1,0,132000000,1,2026-09-04T21:00:00,synthetic-seeder
310019,202609,ENTR-ROAMING-BASELINE-0019,310019,BILL-310019,SYN-ROAM-4GB,4,44,MALE,남자,5G-STD-01,5G 스탠다드,A,개통,태국,20260904,,0,SYN-ROAM-4GB,합성 로밍패스 4GB,A,개통,20260904,20260904,99991231,20260904,,1,0,139000000,1,2026-09-04T21:00:00,synthetic-seeder
310003,202609,ENTR-ROAMING-BASELINE-0003,310003,BILL-310003,SYN-ROAM-4GB,2,28,MALE,남자,5G-STD-01,5G 스탠다드,A,개통,태국,20260904,,0,SYN-ROAM-4GB,합성 로밍패스 4GB,A,개통,20260904,20260904,99991231,20260904,,1,0,123000000,1,2026-09-04T21:00:00,synthetic-seeder
310001,202609,ENTR-ROAMING-BASELINE-0001,310001,BILL-310001,SYN-ROAM-4GB,2,26,MALE,남자,5G-STD-01,5G 스탠다드,A,개통,베트남,20260904,,0,SYN-ROAM-4GB,합성 로밍패스 4GB,A,개통,20260904,20260904,99991231,20260904,,1,0,121000000,1,2026-09-04T21:00:00,synthetic-seeder
310006,202609,ENTR-ROAMING-BASELINE-0006,310006,BILL-310006,SYN-ROAM-4GB,3,31,FEMALE,여자,5G-STD-01,5G 스탠다드,A,개통,미국,20260904,,0,SYN-ROAM-4GB,합성 로밍패스 4GB,A,개통,20260904,20260904,99991231,20260904,,1,0,126000000,1,2026-09-04T21:00:00,synthetic-seeder
310018,202609,ENTR-ROAMING-BASELINE-0018,310018,BILL-310018,SYN-ROAM-4GB,4,43,FEMALE,여자,5G-STD-01,5G 스탠다드,A,개통,미국,20260904,,0,SYN-ROAM-4GB,합성 로밍패스 4GB,A,개통,20260904,20260904,99991231,20260904,,1,0,138000000,1,2026-09-04T21:00:00,synthetic-seeder
