date,phase,exposure_rate,vas_session_count,vas_direct_reach_rate,vas_unreachable_rate,vas_repeat_search_rate,vas_negative_feedback_rate,vas_favorite_rate,vas_voc_rate,payment_customer_count,payment_completion_rate,payment_consent_exit_rate,payment_average_attempts,payment_repeat_search_rate,payment_negative_feedback_rate,payment_voc_rate,roaming_customer_count,roaming_browse_exit_agent_signup_count,roaming_browse_exit_agent_signup_rate,roaming_usage_rate
2026-09-04,baseline,0.0,49,0.0,0.2653,0.3673,0.2653,0.2449,0.1837,66,0.197,0.7547,1.0,0.0,0.0,0.0,20,8,0.4,0.8
2026-09-05,baseline,0.0,49,0.0,0.2857,0.3469,0.2653,0.2449,0.1633,119,0.1092,0.7547,1.0,0.0084,0.0,0.0,20,8,0.4,0.8
2026-09-06,baseline,0.0,49,0.0,0.2857,0.3469,0.2653,0.2449,0.1633,118,0.1102,0.7619,1.0,0.0085,0.0,0.0,20,8,0.4,0.8
2026-09-07,baseline,0.0,49,0.0,0.2857,0.3469,0.2653,0.2449,0.1837,154,0.0844,0.8227,1.0,0.2403,0.1623,0.1234,20,8,0.4,0.8
2026-09-08,baseline,0.0,48,0.0,0.2917,0.3542,0.2708,0.25,0.1875,102,0.1275,0.8539,1.0,0.3725,0.2451,0.1863,20,8,0.4,0.8
2026-09-09,baseline,0.0,48,0.0,0.2917,0.3542,0.2708,0.25,0.1875,50,0.26,1.0,1.0,0.74,0.5,0.36,20,8,0.4,0.8
2026-09-10,baseline,0.0,48,0.0,0.2917,0.3542,0.25,0.25,0.1875,48,0.25,1.0,1.0,0.75,0.5208,0.375,20,8,0.4,0.8
2026-09-11,post,0.2,50,0.32,0.28,0.56,0.4,0.24,0.18,40,0.35,0.7692,1.7692,0.45,0.375,0.35,20,7,0.35,0.8
2026-09-12,post,0.3545,50,0.4,0.24,0.48,0.36,0.2,0.16,40,0.45,0.7727,1.7727,0.375,0.325,0.3,20,6,0.3,0.8
2026-09-13,post,0.5,50,0.38,0.26,0.4,0.3,0.18,0.14,40,0.425,0.5652,1.6087,0.325,0.275,0.25,20,5,0.25,0.8
2026-09-14,post,0.6455,50,0.52,0.18,0.32,0.24,0.14,0.12,40,0.6,0.5625,1.625,0.25,0.225,0.2,20,4,0.2,0.8
2026-09-15,post,0.8,50,0.58,0.16,0.24,0.18,0.12,0.1,40,0.675,0.5385,1.5385,0.175,0.175,0.15,20,3,0.15,0.8
2026-09-16,post,0.9,50,0.7,0.12,0.2,0.14,0.1,0.08,40,0.725,0.4545,1.4545,0.125,0.125,0.125,20,2,0.1,0.8
2026-09-17,post,1.0,50,0.74,0.1,0.16,0.1,0.08,0.06,40,0.75,0.3,1.2,0.075,0.075,0.1,20,1,0.05,0.8
