CZ_LNK_KEY,P_YYYYMMDD,GA_LNK_KEY,BASE_DT,CLT_ID,SESN_ID,PTPN_SESN_TM,CUST_NO,ENTR_NO,LOG_DTTM,SESN_STAY_TM,EVET_NM,EVET_ACT_NM,EVET_ACT_CATG_NM,EVET_ACT_LABE_NM,PAGE_STAY_TM,REP_CHNL_MENU_NM,REP_CHNL_MENU_LVL1_NM,REP_CHNL_MENU_LVL2_NM,REP_CHNL_MENU_LVL3_NM,ABTEST_ID,BQ_LOAD_DTTM,BQ_LOAD_USER_ID
110001,2026-09-07,11000101,20260907,CLT-110001,SESN-VAS-B-0001,85,110001,ENTR-VAS-BASELINE-0001,20260907100500,85,page_view,menu_view,vas_wandering,navigating,2,마이,마이,,,CONTROL,2026-09-07T12:05:00,synthetic-seeder
110001,2026-09-07,11000102,20260907,CLT-110001,SESN-VAS-B-0001,85,110001,ENTR-VAS-BASELINE-0001,20260907100511,85,page_view,menu_view,vas_wandering,navigating,4,요금제 조회/변경,마이,요금제 조회/변경,,CONTROL,2026-09-07T12:05:11,synthetic-seeder
110001,2026-09-07,11000103,20260907,CLT-110001,SESN-VAS-B-0001,85,110001,ENTR-VAS-BASELINE-0001,20260907100521,85,page_view,menu_view,vas_wandering,navigating,4,마이,마이,,,CONTROL,2026-09-07T12:05:21,synthetic-seeder
110001,2026-09-07,11000104,20260907,CLT-110001,SESN-VAS-B-0001,85,110001,ENTR-VAS-BASELINE-0001,20260907100536,85,page_view,menu_view,vas_wandering,navigating,1,멤버십,마이,멤버십,,CONTROL,2026-09-07T12:05:36,synthetic-seeder
110001,2026-09-07,11000105,20260907,CLT-110001,SESN-VAS-B-0001,85,110001,ENTR-VAS-BASELINE-0001,20260907100547,85,page_view,menu_view,vas_wandering,navigating,3,마이,마이,,,CONTROL,2026-09-07T12:05:47,synthetic-seeder
110001,2026-09-07,11000106,20260907,CLT-110001,SESN-VAS-B-0001,85,110001,ENTR-VAS-BASELINE-0001,20260907100558,85,page_view,menu_view,vas_wandering,navigating,4,가입정보,마이,가입정보,,CONTROL,2026-09-07T12:05:58,synthetic-seeder
110001,2026-09-07,11000107,20260907,CLT-110001,SESN-VAS-B-0001,85,110001,ENTR-VAS-BASELINE-0001,20260907100611,85,page_view,menu_view,vas_wandering,navigating,2,부가서비스 조회/해지,마이,가입정보,부가서비스 조회/해지,CONTROL,2026-09-07T12:06:11,synthetic-seeder
110001,2026-09-07,11000199,20260907,CLT-110001,SESN-VAS-B-0001,85,110001,ENTR-VAS-BASELINE-0001,20260907100622,85,click,favorite_set,vas_wandering,favorite_completed,1,부가서비스 조회/해지,마이,가입정보,부가서비스 조회/해지,CONTROL,2026-09-07T12:06:22,synthetic-seeder
110002,2026-09-07,11000201,20260907,CLT-110002,SESN-VAS-B-0002,154,110002,ENTR-VAS-BASELINE-0002,20260907111000,154,page_view,menu_view,vas_wandering,navigating,4,마이,마이,,,CONTROL,2026-09-07T13:10:00,synthetic-seeder
110002,2026-09-07,11000202,20260907,CLT-110002,SESN-VAS-B-0002,154,110002,ENTR-VAS-BASELINE-0002,20260907111009,154,page_view,menu_view,vas_wandering,navigating,2,요금제 조회/변경,마이,요금제 조회/변경,,CONTROL,2026-09-07T13:10:09,synthetic-seeder
110002,2026-09-07,11000203,20260907,CLT-110002,SESN-VAS-B-0002,154,110002,ENTR-VAS-BASELINE-0002,20260907111017,154,page_view,menu_view,vas_wandering,navigating,2,마이,마이,,,CONTROL,2026-09-07T13:10:17,synthetic-seeder
110002,2026-09-07,11000204,20260907,CLT-110002,SESN-VAS-B-0002,154,110002,ENTR-VAS-BASELINE-0002,20260907111024,154,page_view,menu_view,vas_wandering,navigating,2,멤버십,마이,멤버십,,CONTROL,2026-09-07T13:10:24,synthetic-seeder
110002,2026-09-07,11000205,20260907,CLT-110002,SESN-VAS-B-0002,154,110002,ENTR-VAS-BASELINE-0002,20260907111036,154,page_view,menu_view,vas_wandering,navigating,1,마이,마이,,,CONTROL,2026-09-07T13:10:36,synthetic-seeder
110002,2026-09-07,11000206,20260907,CLT-110002,SESN-VAS-B-0002,154,110002,ENTR-VAS-BASELINE-0002,20260907111049,154,page_view,menu_view,vas_wandering,navigating,4,가입정보,마이,가입정보,,CONTROL,2026-09-07T13:10:49,synthetic-seeder
110002,2026-09-07,11000207,20260907,CLT-110002,SESN-VAS-B-0002,154,110002,ENTR-VAS-BASELINE-0002,20260907111059,154,page_view,menu_view,vas_wandering,navigating,3,부가서비스 조회/해지,마이,가입정보,부가서비스 조회/해지,CONTROL,2026-09-07T13:10:59,synthetic-seeder
110002,2026-09-07,11000299,20260907,CLT-110002,SESN-VAS-B-0002,154,110002,ENTR-VAS-BASELINE-0002,20260907111113,154,click,favorite_set,vas_wandering,favorite_completed,1,부가서비스 조회/해지,마이,가입정보,부가서비스 조회/해지,CONTROL,2026-09-07T13:11:13,synthetic-seeder
110003,2026-09-07,11000301,20260907,CLT-110003,SESN-VAS-B-0003,128,110003,ENTR-VAS-BASELINE-0003,20260907121500,128,page_view,menu_view,vas_wandering,navigating,3,마이,마이,,,CONTROL,2026-09-07T14:15:00,synthetic-seeder
110003,2026-09-07,11000302,20260907,CLT-110003,SESN-VAS-B-0003,128,110003,ENTR-VAS-BASELINE-0003,20260907121515,128,page_view,menu_view,vas_wandering,navigating,2,요금제 조회/변경,마이,요금제 조회/변경,,CONTROL,2026-09-07T14:15:15,synthetic-seeder
110003,2026-09-07,11000303,20260907,CLT-110003,SESN-VAS-B-0003,128,110003,ENTR-VAS-BASELINE-0003,20260907121529,128,page_view,menu_view,vas_wandering,navigating,4,마이,마이,,,CONTROL,2026-09-07T14:15:29,synthetic-seeder
110003,2026-09-07,11000304,20260907,CLT-110003,SESN-VAS-B-0003,128,110003,ENTR-VAS-BASELINE-0003,20260907121543,128,page_view,menu_view,vas_wandering,navigating,3,멤버십,마이,멤버십,,CONTROL,2026-09-07T14:15:43,synthetic-seeder
110003,2026-09-07,11000305,20260907,CLT-110003,SESN-VAS-B-0003,128,110003,ENTR-VAS-BASELINE-0003,20260907121554,128,page_view,menu_view,vas_wandering,navigating,4,마이,마이,,,CONTROL,2026-09-07T14:15:54,synthetic-seeder
110003,2026-09-07,11000306,20260907,CLT-110003,SESN-VAS-B-0003,128,110003,ENTR-VAS-BASELINE-0003,20260907121607,128,page_view,menu_view,vas_wandering,navigating,1,가입정보,마이,가입정보,,CONTROL,2026-09-07T14:16:07,synthetic-seeder
110003,2026-09-07,11000307,20260907,CLT-110003,SESN-VAS-B-0003,128,110003,ENTR-VAS-BASELINE-0003,20260907121615,128,page_view,menu_view,vas_wandering,navigating,3,부가서비스 조회/해지,마이,가입정보,부가서비스 조회/해지,CONTROL,2026-09-07T14:16:15,synthetic-seeder
110003,2026-09-07,11000399,20260907,CLT-110003,SESN-VAS-B-0003,128,110003,ENTR-VAS-BASELINE-0003,20260907121628,128,click,favorite_set,vas_wandering,favorite_completed,1,부가서비스 조회/해지,마이,가입정보,부가서비스 조회/해지,CONTROL,2026-09-07T14:16:28,synthetic-seeder
110004,2026-09-07,11000401,20260907,CLT-110004,SESN-VAS-B-0004,174,110004,ENTR-VAS-BASELINE-0004,20260907132000,174,page_view,menu_view,vas_wandering,navigating,3,마이,마이,,,CONTROL,2026-09-07T15:20:00,synthetic-seeder
110004,2026-09-07,11000402,20260907,CLT-110004,SESN-VAS-B-0004,174,110004,ENTR-VAS-BASELINE-0004,20260907132009,174,page_view,menu_view,vas_wandering,navigating,1,요금제 조회/변경,마이,요금제 조회/변경,,CONTROL,2026-09-07T15:20:09,synthetic-seeder
110004,2026-09-07,11000403,20260907,CLT-110004,SESN-VAS-B-0004,174,110004,ENTR-VAS-BASELINE-0004,20260907132020,174,page_view,menu_view,vas_wandering,navigating,4,마이,마이,,,CONTROL,2026-09-07T15:20:20,synthetic-seeder
110004,2026-09-07,11000404,20260907,CLT-110004,SESN-VAS-B-0004,174,110004,ENTR-VAS-BASELINE-0004,20260907132031,174,page_view,menu_view,vas_wandering,navigating,1,멤버십,마이,멤버십,,CONTROL,2026-09-07T15:20:31,synthetic-seeder
110004,2026-09-07,11000405,20260907,CLT-110004,SESN-VAS-B-0004,174,110004,ENTR-VAS-BASELINE-0004,20260907132040,174,page_view,menu_view,vas_wandering,navigating,2,마이,마이,,,CONTROL,2026-09-07T15:20:40,synthetic-seeder
110004,2026-09-07,11000406,20260907,CLT-110004,SESN-VAS-B-0004,174,110004,ENTR-VAS-BASELINE-0004,20260907132054,174,page_view,menu_view,vas_wandering,navigating,1,가입정보,마이,가입정보,,CONTROL,2026-09-07T15:20:54,synthetic-seeder
110004,2026-09-07,11000407,20260907,CLT-110004,SESN-VAS-B-0004,174,110004,ENTR-VAS-BASELINE-0004,20260907132104,174,page_view,menu_view,vas_wandering,navigating,4,부가서비스 조회/해지,마이,가입정보,부가서비스 조회/해지,CONTROL,2026-09-07T15:21:04,synthetic-seeder
110004,2026-09-07,11000499,20260907,CLT-110004,SESN-VAS-B-0004,174,110004,ENTR-VAS-BASELINE-0004,20260907132115,174,click,favorite_set,vas_wandering,favorite_completed,1,부가서비스 조회/해지,마이,가입정보,부가서비스 조회/해지,CONTROL,2026-09-07T15:21:15,synthetic-seeder
110005,2026-09-08,11000501,20260908,CLT-110005,SESN-VAS-B-0005,107,110005,ENTR-VAS-BASELINE-0005,20260908142500,107,page_view,menu_view,vas_wandering,navigating,4,마이,마이,,,CONTROL,2026-09-08T16:25:00,synthetic-seeder
110005,2026-09-08,11000502,20260908,CLT-110005,SESN-VAS-B-0005,107,110005,ENTR-VAS-BASELINE-0005,20260908142510,107,page_view,menu_view,vas_wandering,navigating,3,요금제 조회/변경,마이,요금제 조회/변경,,CONTROL,2026-09-08T16:25:10,synthetic-seeder
110005,2026-09-08,11000503,20260908,CLT-110005,SESN-VAS-B-0005,107,110005,ENTR-VAS-BASELINE-0005,20260908142519,107,page_view,menu_view,vas_wandering,navigating,4,마이,마이,,,CONTROL,2026-09-08T16:25:19,synthetic-seeder
110005,2026-09-08,11000504,20260908,CLT-110005,SESN-VAS-B-0005,107,110005,ENTR-VAS-BASELINE-0005,20260908142528,107,page_view,menu_view,vas_wandering,navigating,2,멤버십,마이,멤버십,,CONTROL,2026-09-08T16:25:28,synthetic-seeder
110005,2026-09-08,11000505,20260908,CLT-110005,SESN-VAS-B-0005,107,110005,ENTR-VAS-BASELINE-0005,20260908142536,107,page_view,menu_view,vas_wandering,navigating,1,마이,마이,,,CONTROL,2026-09-08T16:25:36,synthetic-seeder
110005,2026-09-08,11000506,20260908,CLT-110005,SESN-VAS-B-0005,107,110005,ENTR-VAS-BASELINE-0005,20260908142548,107,page_view,menu_view,vas_wandering,navigating,1,가입정보,마이,가입정보,,CONTROL,2026-09-08T16:25:48,synthetic-seeder
110005,2026-09-08,11000507,20260908,CLT-110005,SESN-VAS-B-0005,107,110005,ENTR-VAS-BASELINE-0005,20260908142554,107,page_view,menu_view,vas_wandering,navigating,1,부가서비스 조회/해지,마이,가입정보,부가서비스 조회/해지,CONTROL,2026-09-08T16:25:54,synthetic-seeder
110005,2026-09-08,11000599,20260908,CLT-110005,SESN-VAS-B-0005,107,110005,ENTR-VAS-BASELINE-0005,20260908142603,107,click,favorite_set,vas_wandering,favorite_completed,1,부가서비스 조회/해지,마이,가입정보,부가서비스 조회/해지,CONTROL,2026-09-08T16:26:03,synthetic-seeder
110006,2026-09-09,11000601,20260909,CLT-110006,SESN-VAS-B-0006,163,110006,ENTR-VAS-BASELINE-0006,20260909150000,163,page_view,menu_view,vas_wandering,navigating,4,마이,마이,,,CONTROL,2026-09-09T17:00:00,synthetic-seeder
110006,2026-09-09,11000602,20260909,CLT-110006,SESN-VAS-B-0006,163,110006,ENTR-VAS-BASELINE-0006,20260909150015,163,page_view,menu_view,vas_wandering,navigating,4,요금제 조회/변경,마이,요금제 조회/변경,,CONTROL,2026-09-09T17:00:15,synthetic-seeder
110006,2026-09-09,11000603,20260909,CLT-110006,SESN-VAS-B-0006,163,110006,ENTR-VAS-BASELINE-0006,20260909150028,163,page_view,menu_view,vas_wandering,navigating,1,마이,마이,,,CONTROL,2026-09-09T17:00:28,synthetic-seeder
110006,2026-09-09,11000604,20260909,CLT-110006,SESN-VAS-B-0006,163,110006,ENTR-VAS-BASELINE-0006,20260909150039,163,page_view,menu_view,vas_wandering,navigating,1,멤버십,마이,멤버십,,CONTROL,2026-09-09T17:00:39,synthetic-seeder
110006,2026-09-09,11000605,20260909,CLT-110006,SESN-VAS-B-0006,163,110006,ENTR-VAS-BASELINE-0006,20260909150052,163,page_view,menu_view,vas_wandering,navigating,2,마이,마이,,,CONTROL,2026-09-09T17:00:52,synthetic-seeder
110006,2026-09-09,11000606,20260909,CLT-110006,SESN-VAS-B-0006,163,110006,ENTR-VAS-BASELINE-0006,20260909150100,163,page_view,menu_view,vas_wandering,navigating,4,가입정보,마이,가입정보,,CONTROL,2026-09-09T17:01:00,synthetic-seeder
110006,2026-09-09,11000607,20260909,CLT-110006,SESN-VAS-B-0006,163,110006,ENTR-VAS-BASELINE-0006,20260909150113,163,page_view,menu_view,vas_wandering,navigating,1,부가서비스 조회/해지,마이,가입정보,부가서비스 조회/해지,CONTROL,2026-09-09T17:01:13,synthetic-seeder
110006,2026-09-09,11000699,20260909,CLT-110006,SESN-VAS-B-0006,163,110006,ENTR-VAS-BASELINE-0006,20260909150122,163,click,favorite_set,vas_wandering,favorite_completed,1,부가서비스 조회/해지,마이,가입정보,부가서비스 조회/해지,CONTROL,2026-09-09T17:01:22,synthetic-seeder
110007,2026-09-10,11000701,20260910,CLT-110007,SESN-VAS-B-0007,67,110007,ENTR-VAS-BASELINE-0007,20260910160500,67,page_view,menu_view,vas_wandering,navigating,3,마이,마이,,,CONTROL,2026-09-10T18:05:00,synthetic-seeder
110007,2026-09-10,11000702,20260910,CLT-110007,SESN-VAS-B-0007,67,110007,ENTR-VAS-BASELINE-0007,20260910160509,67,page_view,menu_view,vas_wandering,navigating,3,요금제 조회/변경,마이,요금제 조회/변경,,CONTROL,2026-09-10T18:05:09,synthetic-seeder
110007,2026-09-10,11000703,20260910,CLT-110007,SESN-VAS-B-0007,67,110007,ENTR-VAS-BASELINE-0007,20260910160519,67,page_view,menu_view,vas_wandering,navigating,1,마이,마이,,,CONTROL,2026-09-10T18:05:19,synthetic-seeder
110007,2026-09-10,11000704,20260910,CLT-110007,SESN-VAS-B-0007,67,110007,ENTR-VAS-BASELINE-0007,20260910160528,67,page_view,menu_view,vas_wandering,navigating,4,멤버십,마이,멤버십,,CONTROL,2026-09-10T18:05:28,synthetic-seeder
110007,2026-09-10,11000705,20260910,CLT-110007,SESN-VAS-B-0007,67,110007,ENTR-VAS-BASELINE-0007,20260910160543,67,page_view,menu_view,vas_wandering,navigating,3,마이,마이,,,CONTROL,2026-09-10T18:05:43,synthetic-seeder
110007,2026-09-10,11000706,20260910,CLT-110007,SESN-VAS-B-0007,67,110007,ENTR-VAS-BASELINE-0007,20260910160556,67,page_view,menu_view,vas_wandering,navigating,3,가입정보,마이,가입정보,,CONTROL,2026-09-10T18:05:56,synthetic-seeder
110007,2026-09-10,11000707,20260910,CLT-110007,SESN-VAS-B-0007,67,110007,ENTR-VAS-BASELINE-0007,20260910160611,67,page_view,menu_view,vas_wandering,navigating,4,부가서비스 조회/해지,마이,가입정보,부가서비스 조회/해지,CONTROL,2026-09-10T18:06:11,synthetic-seeder
110007,2026-09-10,11000799,20260910,CLT-110007,SESN-VAS-B-0007,67,110007,ENTR-VAS-BASELINE-0007,20260910160627,67,click,favorite_set,vas_wandering,favorite_completed,1,부가서비스 조회/해지,마이,가입정보,부가서비스 조회/해지,CONTROL,2026-09-10T18:06:27,synthetic-seeder
110008,2026-09-07,11000801,20260907,CLT-110008,SESN-VAS-B-0008,144,110008,ENTR-VAS-BASELINE-0008,20260907091000,144,page_view,menu_view,vas_wandering,navigating,4,마이,마이,,,CONTROL,2026-09-07T11:10:00,synthetic-seeder
110008,2026-09-07,11000802,20260907,CLT-110008,SESN-VAS-B-0008,144,110008,ENTR-VAS-BASELINE-0008,20260907091015,144,page_view,menu_view,vas_wandering,navigating,2,요금제 조회/변경,마이,요금제 조회/변경,,CONTROL,2026-09-07T11:10:15,synthetic-seeder
110008,2026-09-07,11000803,20260907,CLT-110008,SESN-VAS-B-0008,144,110008,ENTR-VAS-BASELINE-0008,20260907091026,144,page_view,menu_view,vas_wandering,navigating,4,마이,마이,,,CONTROL,2026-09-07T11:10:26,synthetic-seeder
110008,2026-09-07,11000804,20260907,CLT-110008,SESN-VAS-B-0008,144,110008,ENTR-VAS-BASELINE-0008,20260907091040,144,page_view,menu_view,vas_wandering,navigating,3,멤버십,마이,멤버십,,CONTROL,2026-09-07T11:10:40,synthetic-seeder
110008,2026-09-07,11000805,20260907,CLT-110008,SESN-VAS-B-0008,144,110008,ENTR-VAS-BASELINE-0008,20260907091050,144,page_view,menu_view,vas_wandering,navigating,4,마이,마이,,,CONTROL,2026-09-07T11:10:50,synthetic-seeder
110008,2026-09-07,11000806,20260907,CLT-110008,SESN-VAS-B-0008,144,110008,ENTR-VAS-BASELINE-0008,20260907091106,144,page_view,menu_view,vas_wandering,navigating,4,가입정보,마이,가입정보,,CONTROL,2026-09-07T11:11:06,synthetic-seeder
110008,2026-09-07,11000807,20260907,CLT-110008,SESN-VAS-B-0008,144,110008,ENTR-VAS-BASELINE-0008,20260907091116,144,page_view,menu_view,vas_wandering,navigating,1,부가서비스 조회/해지,마이,가입정보,부가서비스 조회/해지,CONTROL,2026-09-07T11:11:16,synthetic-seeder
110008,2026-09-07,11000899,20260907,CLT-110008,SESN-VAS-B-0008,144,110008,ENTR-VAS-BASELINE-0008,20260907091129,144,click,favorite_set,vas_wandering,favorite_completed,1,부가서비스 조회/해지,마이,가입정보,부가서비스 조회/해지,CONTROL,2026-09-07T11:11:29,synthetic-seeder
110009,2026-09-07,11000901,20260907,CLT-110009,SESN-VAS-B-0009,172,110009,ENTR-VAS-BASELINE-0009,20260907101500,172,page_view,menu_view,vas_wandering,navigating,3,마이,마이,,,CONTROL,2026-09-07T12:15:00,synthetic-seeder
110009,2026-09-07,11000902,20260907,CLT-110009,SESN-VAS-B-0009,172,110009,ENTR-VAS-BASELINE-0009,20260907101508,172,page_view,menu_view,vas_wandering,navigating,4,요금제 조회/변경,마이,요금제 조회/변경,,CONTROL,2026-09-07T12:15:08,synthetic-seeder
110009,2026-09-07,11000903,20260907,CLT-110009,SESN-VAS-B-0009,172,110009,ENTR-VAS-BASELINE-0009,20260907101524,172,page_view,menu_view,vas_wandering,navigating,1,마이,마이,,,CONTROL,2026-09-07T12:15:24,synthetic-seeder
110009,2026-09-07,11000904,20260907,CLT-110009,SESN-VAS-B-0009,172,110009,ENTR-VAS-BASELINE-0009,20260907101534,172,page_view,menu_view,vas_wandering,navigating,3,멤버십,마이,멤버십,,CONTROL,2026-09-07T12:15:34,synthetic-seeder
110009,2026-09-07,11000905,20260907,CLT-110009,SESN-VAS-B-0009,172,110009,ENTR-VAS-BASELINE-0009,20260907101542,172,page_view,menu_view,vas_wandering,navigating,3,마이,마이,,,CONTROL,2026-09-07T12:15:42,synthetic-seeder
110009,2026-09-07,11000906,20260907,CLT-110009,SESN-VAS-B-0009,172,110009,ENTR-VAS-BASELINE-0009,20260907101552,172,page_view,menu_view,vas_wandering,navigating,3,가입정보,마이,가입정보,,CONTROL,2026-09-07T12:15:52,synthetic-seeder
110009,2026-09-07,11000907,20260907,CLT-110009,SESN-VAS-B-0009,172,110009,ENTR-VAS-BASELINE-0009,20260907101600,172,page_view,menu_view,vas_wandering,navigating,1,부가서비스 조회/해지,마이,가입정보,부가서비스 조회/해지,CONTROL,2026-09-07T12:16:00,synthetic-seeder
110009,2026-09-07,11000999,20260907,CLT-110009,SESN-VAS-B-0009,172,110009,ENTR-VAS-BASELINE-0009,20260907101607,172,click,favorite_set,vas_wandering,favorite_completed,1,부가서비스 조회/해지,마이,가입정보,부가서비스 조회/해지,CONTROL,2026-09-07T12:16:07,synthetic-seeder
110010,2026-09-07,11001001,20260907,CLT-110010,SESN-VAS-B-0010,132,110010,ENTR-VAS-BASELINE-0010,20260907112000,132,page_view,menu_view,vas_wandering,navigating,1,마이,마이,,,CONTROL,2026-09-07T13:20:00,synthetic-seeder
110010,2026-09-07,11001002,20260907,CLT-110010,SESN-VAS-B-0010,132,110010,ENTR-VAS-BASELINE-0010,20260907112012,132,page_view,menu_view,vas_wandering,navigating,2,요금제 조회/변경,마이,요금제 조회/변경,,CONTROL,2026-09-07T13:20:12,synthetic-seeder
110010,2026-09-07,11001003,20260907,CLT-110010,SESN-VAS-B-0010,132,110010,ENTR-VAS-BASELINE-0010,20260907112026,132,page_view,menu_view,vas_wandering,navigating,4,마이,마이,,,CONTROL,2026-09-07T13:20:26,synthetic-seeder
110010,2026-09-07,11001004,20260907,CLT-110010,SESN-VAS-B-0010,132,110010,ENTR-VAS-BASELINE-0010,20260907112036,132,page_view,menu_view,vas_wandering,navigating,2,멤버십,마이,멤버십,,CONTROL,2026-09-07T13:20:36,synthetic-seeder
110010,2026-09-07,11001005,20260907,CLT-110010,SESN-VAS-B-0010,132,110010,ENTR-VAS-BASELINE-0010,20260907112049,132,page_view,menu_view,vas_wandering,navigating,2,마이,마이,,,CONTROL,2026-09-07T13:20:49,synthetic-seeder
110010,2026-09-07,11001006,20260907,CLT-110010,SESN-VAS-B-0010,132,110010,ENTR-VAS-BASELINE-0010,20260907112101,132,page_view,menu_view,vas_wandering,navigating,2,가입정보,마이,가입정보,,CONTROL,2026-09-07T13:21:01,synthetic-seeder
110010,2026-09-07,11001007,20260907,CLT-110010,SESN-VAS-B-0010,132,110010,ENTR-VAS-BASELINE-0010,20260907112115,132,page_view,menu_view,vas_wandering,navigating,3,부가서비스 조회/해지,마이,가입정보,부가서비스 조회/해지,CONTROL,2026-09-07T13:21:15,synthetic-seeder
110010,2026-09-07,11001099,20260907,CLT-110010,SESN-VAS-B-0010,132,110010,ENTR-VAS-BASELINE-0010,20260907112128,132,click,favorite_set,vas_wandering,favorite_completed,1,부가서비스 조회/해지,마이,가입정보,부가서비스 조회/해지,CONTROL,2026-09-07T13:21:28,synthetic-seeder
110011,2026-09-07,11001101,20260907,CLT-110011,SESN-VAS-B-0011,119,110011,ENTR-VAS-BASELINE-0011,20260907122500,119,page_view,menu_view,vas_wandering,navigating,2,마이,마이,,,CONTROL,2026-09-07T14:25:00,synthetic-seeder
