P_YYYYMMDD,CZ_LNK_KEY,BASE_DT,MESSAGE_ID,CAMPAIGN_ID,CAMPAIGN_NM,MESSAGE_TEMPLATE_ID,SEND_DTTM,CHANNEL_CD,SEND_RESULT_CD,TARGET_SEGMENT_NM,TARGET_PROD_CD,TARGET_PROD_NM,FEATURE_NM,MESSAGE_CNTN,ENTR_NO,CUST_NO,BQ_LOAD_DTTM,BQ_LOAD_USER_ID
2026-09-07,110001,20260907,CRM-G1-20260907-0001,CMP-G1-OPTION-202609,구글 원 세부 옵션 변경 기능 안내,SMS-G1-OPTION-CHANGE-V1,2026-09-07T08:00:00,SMS,DELIVERED,구글 원 100GB 부가서비스 가입자,VAS-GOOGLEONE-100,구글 원 100GB,구글 원 저장공간 옵션 변경,"구글 원 이용 고객님, 9월부터 저장공간 옵션을 변경할 수 있습니다. 자세한 내용은 U+ 앱에서 확인해 주세요.",ENTR-VAS-BASELINE-0001,110001,2026-09-07T10:00:00,synthetic-seeder
2026-09-07,110002,20260907,CRM-G1-20260907-0002,CMP-G1-OPTION-202609,구글 원 세부 옵션 변경 기능 안내,SMS-G1-OPTION-CHANGE-V1,2026-09-07T08:00:00,SMS,DELIVERED,구글 원 100GB 부가서비스 가입자,VAS-GOOGLEONE-100,구글 원 100GB,구글 원 저장공간 옵션 변경,"구글 원 이용 고객님, 9월부터 저장공간 옵션을 변경할 수 있습니다. 자세한 내용은 U+ 앱에서 확인해 주세요.",ENTR-VAS-BASELINE-0002,110002,2026-09-07T10:00:00,synthetic-seeder
2026-09-07,110003,20260907,CRM-G1-20260907-0003,CMP-G1-OPTION-202609,구글 원 세부 옵션 변경 기능 안내,SMS-G1-OPTION-CHANGE-V1,2026-09-07T08:00:00,SMS,DELIVERED,구글 원 100GB 부가서비스 가입자,VAS-GOOGLEONE-100,구글 원 100GB,구글 원 저장공간 옵션 변경,"구글 원 이용 고객님, 9월부터 저장공간 옵션을 변경할 수 있습니다. 자세한 내용은 U+ 앱에서 확인해 주세요.",ENTR-VAS-BASELINE-0003,110003,2026-09-07T10:00:00,synthetic-seeder
2026-09-07,110004,20260907,CRM-G1-20260907-0004,CMP-G1-OPTION-202609,구글 원 세부 옵션 변경 기능 안내,SMS-G1-OPTION-CHANGE-V1,2026-09-07T08:00:00,SMS,DELIVERED,구글 원 100GB 부가서비스 가입자,VAS-GOOGLEONE-100,구글 원 100GB,구글 원 저장공간 옵션 변경,"구글 원 이용 고객님, 9월부터 저장공간 옵션을 변경할 수 있습니다. 자세한 내용은 U+ 앱에서 확인해 주세요.",ENTR-VAS-BASELINE-0004,110004,2026-09-07T10:00:00,synthetic-seeder
2026-09-07,110005,20260907,CRM-G1-20260907-0005,CMP-G1-OPTION-202609,구글 원 세부 옵션 변경 기능 안내,SMS-G1-OPTION-CHANGE-V1,2026-09-07T08:00:00,SMS,DELIVERED,구글 원 100GB 부가서비스 가입자,VAS-GOOGLEONE-100,구글 원 100GB,구글 원 저장공간 옵션 변경,"구글 원 이용 고객님, 9월부터 저장공간 옵션을 변경할 수 있습니다. 자세한 내용은 U+ 앱에서 확인해 주세요.",ENTR-VAS-BASELINE-0005,110005,2026-09-07T10:00:00,synthetic-seeder
2026-09-07,110006,20260907,CRM-G1-20260907-0006,CMP-G1-OPTION-202609,구글 원 세부 옵션 변경 기능 안내,SMS-G1-OPTION-CHANGE-V1,2026-09-07T08:00:00,SMS,DELIVERED,구글 원 100GB 부가서비스 가입자,VAS-GOOGLEONE-100,구글 원 100GB,구글 원 저장공간 옵션 변경,"구글 원 이용 고객님, 9월부터 저장공간 옵션을 변경할 수 있습니다. 자세한 내용은 U+ 앱에서 확인해 주세요.",ENTR-VAS-BASELINE-0006,110006,2026-09-07T10:00:00,synthetic-seeder
2026-09-07,110007,20260907,CRM-G1-20260907-0007,CMP-G1-OPTION-202609,구글 원 세부 옵션 변경 기능 안내,SMS-G1-OPTION-CHANGE-V1,2026-09-07T08:00:00,SMS,DELIVERED,구글 원 100GB 부가서비스 가입자,VAS-GOOGLEONE-100,구글 원 100GB,구글 원 저장공간 옵션 변경,"구글 원 이용 고객님, 9월부터 저장공간 옵션을 변경할 수 있습니다. 자세한 내용은 U+ 앱에서 확인해 주세요.",ENTR-VAS-BASELINE-0007,110007,2026-09-07T10:00:00,synthetic-seeder
2026-09-07,110008,20260907,CRM-G1-20260907-0008,CMP-G1-OPTION-202609,구글 원 세부 옵션 변경 기능 안내,SMS-G1-OPTION-CHANGE-V1,2026-09-07T08:00:00,SMS,DELIVERED,구글 원 100GB 부가서비스 가입자,VAS-GOOGLEONE-100,구글 원 100GB,구글 원 저장공간 옵션 변경,"구글 원 이용 고객님, 9월부터 저장공간 옵션을 변경할 수 있습니다. 자세한 내용은 U+ 앱에서 확인해 주세요.",ENTR-VAS-BASELINE-0008,110008,2026-09-07T10:00:00,synthetic-seeder
2026-09-07,110009,20260907,CRM-G1-20260907-0009,CMP-G1-OPTION-202609,구글 원 세부 옵션 변경 기능 안내,SMS-G1-OPTION-CHANGE-V1,2026-09-07T08:00:00,SMS,DELIVERED,구글 원 100GB 부가서비스 가입자,VAS-GOOGLEONE-100,구글 원 100GB,구글 원 저장공간 옵션 변경,"구글 원 이용 고객님, 9월부터 저장공간 옵션을 변경할 수 있습니다. 자세한 내용은 U+ 앱에서 확인해 주세요.",ENTR-VAS-BASELINE-0009,110009,2026-09-07T10:00:00,synthetic-seeder
2026-09-07,110010,20260907,CRM-G1-20260907-0010,CMP-G1-OPTION-202609,구글 원 세부 옵션 변경 기능 안내,SMS-G1-OPTION-CHANGE-V1,2026-09-07T08:00:00,SMS,DELIVERED,구글 원 100GB 부가서비스 가입자,VAS-GOOGLEONE-100,구글 원 100GB,구글 원 저장공간 옵션 변경,"구글 원 이용 고객님, 9월부터 저장공간 옵션을 변경할 수 있습니다. 자세한 내용은 U+ 앱에서 확인해 주세요.",ENTR-VAS-BASELINE-0010,110010,2026-09-07T10:00:00,synthetic-seeder
2026-09-07,110011,20260907,CRM-G1-20260907-0011,CMP-G1-OPTION-202609,구글 원 세부 옵션 변경 기능 안내,SMS-G1-OPTION-CHANGE-V1,2026-09-07T08:00:00,SMS,DELIVERED,구글 원 100GB 부가서비스 가입자,VAS-GOOGLEONE-100,구글 원 100GB,구글 원 저장공간 옵션 변경,"구글 원 이용 고객님, 9월부터 저장공간 옵션을 변경할 수 있습니다. 자세한 내용은 U+ 앱에서 확인해 주세요.",ENTR-VAS-BASELINE-0011,110011,2026-09-07T10:00:00,synthetic-seeder
2026-09-07,110012,20260907,CRM-G1-20260907-0012,CMP-G1-OPTION-202609,구글 원 세부 옵션 변경 기능 안내,SMS-G1-OPTION-CHANGE-V1,2026-09-07T08:00:00,SMS,DELIVERED,구글 원 100GB 부가서비스 가입자,VAS-GOOGLEONE-100,구글 원 100GB,구글 원 저장공간 옵션 변경,"구글 원 이용 고객님, 9월부터 저장공간 옵션을 변경할 수 있습니다. 자세한 내용은 U+ 앱에서 확인해 주세요.",ENTR-VAS-BASELINE-0012,110012,2026-09-07T10:00:00,synthetic-seeder
2026-09-07,110013,20260907,CRM-G1-20260907-0013,CMP-G1-OPTION-202609,구글 원 세부 옵션 변경 기능 안내,SMS-G1-OPTION-CHANGE-V1,2026-09-07T08:00:00,SMS,DELIVERED,구글 원 100GB 부가서비스 가입자,VAS-GOOGLEONE-100,구글 원 100GB,구글 원 저장공간 옵션 변경,"구글 원 이용 고객님, 9월부터 저장공간 옵션을 변경할 수 있습니다. 자세한 내용은 U+ 앱에서 확인해 주세요.",ENTR-VAS-BASELINE-0013,110013,2026-09-07T10:00:00,synthetic-seeder
2026-09-07,110014,20260907,CRM-G1-20260907-0014,CMP-G1-OPTION-202609,구글 원 세부 옵션 변경 기능 안내,SMS-G1-OPTION-CHANGE-V1,2026-09-07T08:00:00,SMS,DELIVERED,구글 원 100GB 부가서비스 가입자,VAS-GOOGLEONE-100,구글 원 100GB,구글 원 저장공간 옵션 변경,"구글 원 이용 고객님, 9월부터 저장공간 옵션을 변경할 수 있습니다. 자세한 내용은 U+ 앱에서 확인해 주세요.",ENTR-VAS-BASELINE-0014,110014,2026-09-07T10:00:00,synthetic-seeder
2026-09-07,110015,20260907,CRM-G1-20260907-0015,CMP-G1-OPTION-202609,구글 원 세부 옵션 변경 기능 안내,SMS-G1-OPTION-CHANGE-V1,2026-09-07T08:00:00,SMS,DELIVERED,구글 원 100GB 부가서비스 가입자,VAS-GOOGLEONE-100,구글 원 100GB,구글 원 저장공간 옵션 변경,"구글 원 이용 고객님, 9월부터 저장공간 옵션을 변경할 수 있습니다. 자세한 내용은 U+ 앱에서 확인해 주세요.",ENTR-VAS-BASELINE-0015,110015,2026-09-07T10:00:00,synthetic-seeder
2026-09-07,110016,20260907,CRM-G1-20260907-0016,CMP-G1-OPTION-202609,구글 원 세부 옵션 변경 기능 안내,SMS-G1-OPTION-CHANGE-V1,2026-09-07T08:00:00,SMS,DELIVERED,구글 원 100GB 부가서비스 가입자,VAS-GOOGLEONE-100,구글 원 100GB,구글 원 저장공간 옵션 변경,"구글 원 이용 고객님, 9월부터 저장공간 옵션을 변경할 수 있습니다. 자세한 내용은 U+ 앱에서 확인해 주세요.",ENTR-VAS-BASELINE-0016,110016,2026-09-07T10:00:00,synthetic-seeder
