CZ_LNK_KEY,P_YYYYMMDD,ID,THREAD_ID,RUN_ID,SEARCH_QUERY,SEARCH_RESULT,CREATED_AT,STATUS,FIRST_RESPONSE_LATENCY_MS,WAS_CACHE_HIT,SEARCH_QUERY_TYPE,REWRITE_SEARCH_QUERY,SEARCH_RESULT_REFERENCE_TEMPLATE_NAME,IS_FALLBACK_SEARCH_RESULT,BQ_LOAD_DTTM,BQ_LOAD_USER_ID
110001,2026-09-07,100011,THREAD-VAS-B-0001,RUN-VAS-B-0001-1,구글원 옵션 바꾸기,가입정보 메뉴에서 부가서비스를 확인할 수 있습니다.,2026-09-07T18:10:00,failed,685.0,False,initial,부가서비스 조회/해지,VAS_GUIDE_NO_CTA,N,2026-09-07T20:10:00,synthetic-seeder
110001,2026-09-07,100012,THREAD-VAS-B-0001,RUN-VAS-B-0001-2,구글원 부가서비스 변경,가입정보 메뉴에서 부가서비스를 확인할 수 있습니다.,2026-09-07T18:20:00,failed,685.0,True,repeat,부가서비스 조회/해지,VAS_GUIDE_NO_CTA,N,2026-09-07T20:20:00,synthetic-seeder
110002,2026-09-07,100021,THREAD-VAS-B-0002,RUN-VAS-B-0002-1,구글원 부가서비스 변경,가입정보 메뉴에서 부가서비스를 확인할 수 있습니다.,2026-09-07T18:10:00,failed,720.0,False,initial,부가서비스 조회/해지,VAS_GUIDE_NO_CTA,N,2026-09-07T20:10:00,synthetic-seeder
110002,2026-09-07,100022,THREAD-VAS-B-0002,RUN-VAS-B-0002-2,구글원 용량 변경 방법,가입정보 메뉴에서 부가서비스를 확인할 수 있습니다.,2026-09-07T18:20:00,failed,720.0,True,repeat,부가서비스 조회/해지,VAS_GUIDE_NO_CTA,N,2026-09-07T20:20:00,synthetic-seeder
110003,2026-09-07,100031,THREAD-VAS-B-0003,RUN-VAS-B-0003-1,구글원 용량 변경 방법,가입정보 메뉴에서 부가서비스를 확인할 수 있습니다.,2026-09-07T18:10:00,failed,755.0,False,initial,부가서비스 조회/해지,VAS_GUIDE_NO_CTA,N,2026-09-07T20:10:00,synthetic-seeder
110003,2026-09-07,100032,THREAD-VAS-B-0003,RUN-VAS-B-0003-2,구글원 200GB로 변경,가입정보 메뉴에서 부가서비스를 확인할 수 있습니다.,2026-09-07T18:20:00,failed,755.0,True,repeat,부가서비스 조회/해지,VAS_GUIDE_NO_CTA,N,2026-09-07T20:20:00,synthetic-seeder
110004,2026-09-07,100041,THREAD-VAS-B-0004,RUN-VAS-B-0004-1,구글원 200GB로 변경,가입정보 메뉴에서 부가서비스를 확인할 수 있습니다.,2026-09-07T18:10:00,failed,790.0,False,initial,부가서비스 조회/해지,VAS_GUIDE_NO_CTA,N,2026-09-07T20:10:00,synthetic-seeder
110004,2026-09-07,100042,THREAD-VAS-B-0004,RUN-VAS-B-0004-2,구글원 저장공간 변경,가입정보 메뉴에서 부가서비스를 확인할 수 있습니다.,2026-09-07T18:20:00,failed,790.0,True,repeat,부가서비스 조회/해지,VAS_GUIDE_NO_CTA,N,2026-09-07T20:20:00,synthetic-seeder
110005,2026-09-08,100051,THREAD-VAS-B-0005,RUN-VAS-B-0005-1,구글원 저장공간 변경,가입정보 메뉴에서 부가서비스를 확인할 수 있습니다.,2026-09-08T18:10:00,failed,825.0,False,initial,부가서비스 조회/해지,VAS_GUIDE_NO_CTA,N,2026-09-08T20:10:00,synthetic-seeder
110005,2026-09-08,100052,THREAD-VAS-B-0005,RUN-VAS-B-0005-2,구글원 100GB에서 200GB 변경,가입정보 메뉴에서 부가서비스를 확인할 수 있습니다.,2026-09-08T18:20:00,failed,825.0,True,repeat,부가서비스 조회/해지,VAS_GUIDE_NO_CTA,N,2026-09-08T20:20:00,synthetic-seeder
110006,2026-09-09,100061,THREAD-VAS-B-0006,RUN-VAS-B-0006-1,구글원 100GB에서 200GB 변경,가입정보 메뉴에서 부가서비스를 확인할 수 있습니다.,2026-09-09T18:10:00,failed,860.0,False,initial,부가서비스 조회/해지,VAS_GUIDE_NO_CTA,N,2026-09-09T20:10:00,synthetic-seeder
110006,2026-09-09,100062,THREAD-VAS-B-0006,RUN-VAS-B-0006-2,구글원 옵션 바꾸기,가입정보 메뉴에서 부가서비스를 확인할 수 있습니다.,2026-09-09T18:20:00,failed,860.0,True,repeat,부가서비스 조회/해지,VAS_GUIDE_NO_CTA,N,2026-09-09T20:20:00,synthetic-seeder
110007,2026-09-10,100071,THREAD-VAS-B-0007,RUN-VAS-B-0007-1,구글원 옵션 바꾸기,가입정보 메뉴에서 부가서비스를 확인할 수 있습니다.,2026-09-10T18:10:00,failed,650.0,False,initial,부가서비스 조회/해지,VAS_GUIDE_NO_CTA,N,2026-09-10T20:10:00,synthetic-seeder
110007,2026-09-10,100072,THREAD-VAS-B-0007,RUN-VAS-B-0007-2,구글원 부가서비스 변경,가입정보 메뉴에서 부가서비스를 확인할 수 있습니다.,2026-09-10T18:20:00,failed,650.0,True,repeat,부가서비스 조회/해지,VAS_GUIDE_NO_CTA,N,2026-09-10T20:20:00,synthetic-seeder
110008,2026-09-07,100081,THREAD-VAS-B-0008,RUN-VAS-B-0008-1,구글원 부가서비스 변경,가입정보 메뉴에서 부가서비스를 확인할 수 있습니다.,2026-09-07T18:10:00,failed,685.0,False,initial,부가서비스 조회/해지,VAS_GUIDE_NO_CTA,N,2026-09-07T20:10:00,synthetic-seeder
110008,2026-09-07,100082,THREAD-VAS-B-0008,RUN-VAS-B-0008-2,구글원 용량 변경 방법,가입정보 메뉴에서 부가서비스를 확인할 수 있습니다.,2026-09-07T18:20:00,failed,685.0,True,repeat,부가서비스 조회/해지,VAS_GUIDE_NO_CTA,N,2026-09-07T20:20:00,synthetic-seeder
110009,2026-09-07,100091,THREAD-VAS-B-0009,RUN-VAS-B-0009-1,구글원 용량 변경 방법,가입정보 메뉴에서 부가서비스를 확인할 수 있습니다.,2026-09-07T18:10:00,failed,720.0,False,initial,부가서비스 조회/해지,VAS_GUIDE_NO_CTA,N,2026-09-07T20:10:00,synthetic-seeder
110009,2026-09-07,100092,THREAD-VAS-B-0009,RUN-VAS-B-0009-2,구글원 200GB로 변경,가입정보 메뉴에서 부가서비스를 확인할 수 있습니다.,2026-09-07T18:20:00,failed,720.0,True,repeat,부가서비스 조회/해지,VAS_GUIDE_NO_CTA,N,2026-09-07T20:20:00,synthetic-seeder
110010,2026-09-07,100101,THREAD-VAS-B-0010,RUN-VAS-B-0010-1,구글원 200GB로 변경,가입정보 메뉴에서 부가서비스를 확인할 수 있습니다.,2026-09-07T18:10:00,failed,755.0,False,initial,부가서비스 조회/해지,VAS_GUIDE_NO_CTA,N,2026-09-07T20:10:00,synthetic-seeder
110010,2026-09-07,100102,THREAD-VAS-B-0010,RUN-VAS-B-0010-2,구글원 저장공간 변경,가입정보 메뉴에서 부가서비스를 확인할 수 있습니다.,2026-09-07T18:20:00,failed,755.0,True,repeat,부가서비스 조회/해지,VAS_GUIDE_NO_CTA,N,2026-09-07T20:20:00,synthetic-seeder
110011,2026-09-07,100111,THREAD-VAS-B-0011,RUN-VAS-B-0011-1,구글원 저장공간 변경,가입정보 메뉴에서 부가서비스를 확인할 수 있습니다.,2026-09-07T18:10:00,failed,790.0,False,initial,부가서비스 조회/해지,VAS_GUIDE_NO_CTA,N,2026-09-07T20:10:00,synthetic-seeder
110011,2026-09-07,100112,THREAD-VAS-B-0011,RUN-VAS-B-0011-2,구글원 100GB에서 200GB 변경,가입정보 메뉴에서 부가서비스를 확인할 수 있습니다.,2026-09-07T18:20:00,failed,790.0,True,repeat,부가서비스 조회/해지,VAS_GUIDE_NO_CTA,N,2026-09-07T20:20:00,synthetic-seeder
110012,2026-09-08,100121,THREAD-VAS-B-0012,RUN-VAS-B-0012-1,구글원 100GB에서 200GB 변경,가입정보 메뉴에서 부가서비스를 확인할 수 있습니다.,2026-09-08T18:10:00,failed,825.0,False,initial,부가서비스 조회/해지,VAS_GUIDE_NO_CTA,N,2026-09-08T20:10:00,synthetic-seeder
110012,2026-09-08,100122,THREAD-VAS-B-0012,RUN-VAS-B-0012-2,구글원 옵션 바꾸기,가입정보 메뉴에서 부가서비스를 확인할 수 있습니다.,2026-09-08T18:20:00,failed,825.0,True,repeat,부가서비스 조회/해지,VAS_GUIDE_NO_CTA,N,2026-09-08T20:20:00,synthetic-seeder
110013,2026-09-09,100131,THREAD-VAS-B-0013,RUN-VAS-B-0013-1,구글원 옵션 바꾸기,가입정보 메뉴에서 부가서비스를 확인할 수 있습니다.,2026-09-09T18:10:00,failed,860.0,False,initial,부가서비스 조회/해지,VAS_GUIDE_NO_CTA,N,2026-09-09T20:10:00,synthetic-seeder
110013,2026-09-09,100132,THREAD-VAS-B-0013,RUN-VAS-B-0013-2,구글원 부가서비스 변경,가입정보 메뉴에서 부가서비스를 확인할 수 있습니다.,2026-09-09T18:20:00,failed,860.0,True,repeat,부가서비스 조회/해지,VAS_GUIDE_NO_CTA,N,2026-09-09T20:20:00,synthetic-seeder
110014,2026-09-10,100141,THREAD-VAS-B-0014,RUN-VAS-B-0014-1,구글원 부가서비스 변경,가입정보 메뉴에서 부가서비스를 확인할 수 있습니다.,2026-09-10T18:10:00,failed,650.0,False,initial,부가서비스 조회/해지,VAS_GUIDE_NO_CTA,N,2026-09-10T20:10:00,synthetic-seeder
110014,2026-09-10,100142,THREAD-VAS-B-0014,RUN-VAS-B-0014-2,구글원 용량 변경 방법,가입정보 메뉴에서 부가서비스를 확인할 수 있습니다.,2026-09-10T18:20:00,failed,650.0,True,repeat,부가서비스 조회/해지,VAS_GUIDE_NO_CTA,N,2026-09-10T20:20:00,synthetic-seeder
110015,2026-09-07,100151,THREAD-VAS-B-0015,RUN-VAS-B-0015-1,구글원 용량 변경 방법,가입정보 메뉴에서 부가서비스를 확인할 수 있습니다.,2026-09-07T18:10:00,failed,685.0,False,initial,부가서비스 조회/해지,VAS_GUIDE_NO_CTA,N,2026-09-07T20:10:00,synthetic-seeder
110015,2026-09-07,100152,THREAD-VAS-B-0015,RUN-VAS-B-0015-2,구글원 200GB로 변경,가입정보 메뉴에서 부가서비스를 확인할 수 있습니다.,2026-09-07T18:20:00,failed,685.0,True,repeat,부가서비스 조회/해지,VAS_GUIDE_NO_CTA,N,2026-09-07T20:20:00,synthetic-seeder
110016,2026-09-07,100161,THREAD-VAS-B-0016,RUN-VAS-B-0016-1,구글원 200GB로 변경,가입정보 메뉴에서 부가서비스를 확인할 수 있습니다.,2026-09-07T18:10:00,failed,720.0,False,initial,부가서비스 조회/해지,VAS_GUIDE_NO_CTA,N,2026-09-07T20:10:00,synthetic-seeder
110016,2026-09-07,100162,THREAD-VAS-B-0016,RUN-VAS-B-0016-2,구글원 저장공간 변경,가입정보 메뉴에서 부가서비스를 확인할 수 있습니다.,2026-09-07T18:20:00,failed,720.0,True,repeat,부가서비스 조회/해지,VAS_GUIDE_NO_CTA,N,2026-09-07T20:20:00,synthetic-seeder
110017,2026-09-07,100171,THREAD-VAS-B-0017,RUN-VAS-B-0017-1,구글원 저장공간 변경,가입정보 메뉴에서 부가서비스를 확인할 수 있습니다.,2026-09-07T18:10:00,failed,755.0,False,initial,부가서비스 조회/해지,VAS_GUIDE_NO_CTA,N,2026-09-07T20:10:00,synthetic-seeder
110017,2026-09-07,100172,THREAD-VAS-B-0017,RUN-VAS-B-0017-2,구글원 100GB에서 200GB 변경,가입정보 메뉴에서 부가서비스를 확인할 수 있습니다.,2026-09-07T18:20:00,failed,755.0,True,repeat,부가서비스 조회/해지,VAS_GUIDE_NO_CTA,N,2026-09-07T20:20:00,synthetic-seeder
