P_YYYYMMDD,BASE_YYMM,ENTR_NO,ENTR_SVC_SEQNO,CUST_NO,PROD_CD,PROD_NM,BUY_PRC_YN,VAT_INCL_ALL_AMT,SVC_STTS_CD,SVC_STRT_DT,SVC_END_DT,SRVL_YN,EXPY_YN,PROD_ENTR_DAYS,PROD_ENTR_MMCT,ATRC_CHNL_DIVS_NM,EXPY_CHNL_DIVS_NM,BQ_LOAD_DTTM,BQ_LOAD_USER_ID
2026-09-04,202609,ENTR-VAS-BASELINE-0001,ENTR-VAS-BASELINE-0001-1,110001,VAS-SAFE-01,스팸 차단,Y,3300,A,2023-08-01,9999-12-31,Y,N,1130,37,디지털,,2026-09-04T23:00:00,synthetic-seeder
2026-09-04,202609,ENTR-VAS-BASELINE-0001,ENTR-VAS-BASELINE-0001-2,110001,VAS-MEDIA-02,미디어팩,Y,7700,A,2023-08-01,9999-12-31,Y,N,1130,37,디지털,,2026-09-04T23:00:00,synthetic-seeder
2026-09-04,202609,ENTR-VAS-BASELINE-0001,ENTR-VAS-BASELINE-0001-3,110001,VAS-RING-03,통화연결음,Y,1100,A,2023-08-01,9999-12-31,Y,N,1130,37,디지털,,2026-09-04T23:00:00,synthetic-seeder
2026-09-05,202609,ENTR-VAS-BASELINE-0002,ENTR-VAS-BASELINE-0002-1,110002,VAS-SAFE-01,스팸 차단,Y,3300,A,2023-08-01,9999-12-31,Y,N,1131,37,디지털,,2026-09-05T23:00:00,synthetic-seeder
2026-09-05,202609,ENTR-VAS-BASELINE-0002,ENTR-VAS-BASELINE-0002-2,110002,VAS-MEDIA-02,미디어팩,Y,7700,A,2023-08-01,9999-12-31,Y,N,1131,37,디지털,,2026-09-05T23:00:00,synthetic-seeder
2026-09-05,202609,ENTR-VAS-BASELINE-0002,ENTR-VAS-BASELINE-0002-3,110002,VAS-RING-03,통화연결음,Y,1100,A,2023-08-01,9999-12-31,Y,N,1131,37,디지털,,2026-09-05T23:00:00,synthetic-seeder
2026-09-06,202609,ENTR-VAS-BASELINE-0003,ENTR-VAS-BASELINE-0003-1,110003,VAS-SAFE-01,스팸 차단,Y,3300,A,2023-08-01,9999-12-31,Y,N,1132,37,디지털,,2026-09-06T23:00:00,synthetic-seeder
2026-09-06,202609,ENTR-VAS-BASELINE-0003,ENTR-VAS-BASELINE-0003-2,110003,VAS-MEDIA-02,미디어팩,Y,7700,A,2023-08-01,9999-12-31,Y,N,1132,37,디지털,,2026-09-06T23:00:00,synthetic-seeder
2026-09-06,202609,ENTR-VAS-BASELINE-0003,ENTR-VAS-BASELINE-0003-3,110003,VAS-RING-03,통화연결음,Y,1100,A,2023-08-01,9999-12-31,Y,N,1132,37,디지털,,2026-09-06T23:00:00,synthetic-seeder
2026-09-07,202609,ENTR-VAS-BASELINE-0004,ENTR-VAS-BASELINE-0004-1,110004,VAS-SAFE-01,스팸 차단,Y,3300,A,2023-08-01,9999-12-31,Y,N,1133,37,디지털,,2026-09-07T23:00:00,synthetic-seeder
2026-09-07,202609,ENTR-VAS-BASELINE-0004,ENTR-VAS-BASELINE-0004-2,110004,VAS-MEDIA-02,미디어팩,Y,7700,A,2023-08-01,9999-12-31,Y,N,1133,37,디지털,,2026-09-07T23:00:00,synthetic-seeder
2026-09-07,202609,ENTR-VAS-BASELINE-0004,ENTR-VAS-BASELINE-0004-3,110004,VAS-RING-03,통화연결음,Y,1100,A,2023-08-01,9999-12-31,Y,N,1133,37,디지털,,2026-09-07T23:00:00,synthetic-seeder
2026-09-08,202609,ENTR-VAS-BASELINE-0005,ENTR-VAS-BASELINE-0005-1,110005,VAS-SAFE-01,스팸 차단,Y,3300,A,2023-08-01,9999-12-31,Y,N,1134,37,디지털,,2026-09-08T23:00:00,synthetic-seeder
2026-09-08,202609,ENTR-VAS-BASELINE-0005,ENTR-VAS-BASELINE-0005-2,110005,VAS-MEDIA-02,미디어팩,Y,7700,A,2023-08-01,9999-12-31,Y,N,1134,37,디지털,,2026-09-08T23:00:00,synthetic-seeder
2026-09-08,202609,ENTR-VAS-BASELINE-0005,ENTR-VAS-BASELINE-0005-3,110005,VAS-RING-03,통화연결음,Y,1100,A,2023-08-01,9999-12-31,Y,N,1134,37,디지털,,2026-09-08T23:00:00,synthetic-seeder
2026-09-09,202609,ENTR-VAS-BASELINE-0006,ENTR-VAS-BASELINE-0006-1,110006,VAS-SAFE-01,스팸 차단,Y,3300,A,2023-08-01,9999-12-31,Y,N,1135,37,디지털,,2026-09-09T23:00:00,synthetic-seeder
2026-09-09,202609,ENTR-VAS-BASELINE-0006,ENTR-VAS-BASELINE-0006-2,110006,VAS-MEDIA-02,미디어팩,Y,7700,A,2023-08-01,9999-12-31,Y,N,1135,37,디지털,,2026-09-09T23:00:00,synthetic-seeder
