P_YYYYMMDD,CZ_LNK_KEY,BASE_DT,CALL_ID,CALL_CRTE_DTTM,CUST_CNSL_TM,STT_TXT_CNTN,INQU_CNTN,CSLR_PRSS_CNTN,CNSL_ALL_SMRY_CNTN,CUST_SNMT_NM,CNSL_SBJC_TIT_NM,CNSL_SCLS_CD,CNSL_THMA_NM,ENTR_NO,CUST_NO,BQ_LOAD_DTTM,BQ_LOAD_USER_ID
2026-09-07,110060,20260907,CALL-VAS-B-0060,2026-09-07T20:00:00,300,부가서비스를 해지하려는데 메뉴를 못 찾겠어요.,부가서비스 조회/해지 메뉴 위치 문의,상담원이 가입 서비스 확인 후 해지 처리,어디서 해지하는지 몰라 상담원에게 문의함,불편,부가서비스 해지,VAS-MENU-01,부가서비스 조회/해지,ENTR-VAS-BASELINE-0060,110060,2026-09-07T22:00:00,synthetic-seeder
2026-09-08,110061,20260908,CALL-VAS-B-0061,2026-09-08T20:01:00,301,부가서비스를 해지하려는데 메뉴를 못 찾겠어요.,부가서비스 조회/해지 메뉴 위치 문의,상담원이 가입 서비스 확인 후 해지 처리,어디서 해지하는지 몰라 상담원에게 문의함,불편,부가서비스 해지,VAS-MENU-01,부가서비스 조회/해지,ENTR-VAS-BASELINE-0061,110061,2026-09-08T22:01:00,synthetic-seeder
2026-09-09,110062,20260909,CALL-VAS-B-0062,2026-09-09T20:02:00,302,부가서비스를 해지하려는데 메뉴를 못 찾겠어요.,부가서비스 조회/해지 메뉴 위치 문의,상담원이 가입 서비스 확인 후 해지 처리,어디서 해지하는지 몰라 상담원에게 문의함,불편,부가서비스 해지,VAS-MENU-01,부가서비스 조회/해지,ENTR-VAS-BASELINE-0062,110062,2026-09-09T22:02:00,synthetic-seeder
2026-09-10,110063,20260910,CALL-VAS-B-0063,2026-09-10T20:03:00,303,부가서비스를 해지하려는데 메뉴를 못 찾겠어요.,부가서비스 조회/해지 메뉴 위치 문의,상담원이 가입 서비스 확인 후 해지 처리,어디서 해지하는지 몰라 상담원에게 문의함,불편,부가서비스 해지,VAS-MENU-01,부가서비스 조회/해지,ENTR-VAS-BASELINE-0063,110063,2026-09-10T22:03:00,synthetic-seeder
2026-09-04,110064,20260904,CALL-VAS-B-0064,2026-09-04T20:04:00,304,부가서비스를 해지하려는데 메뉴를 못 찾겠어요.,부가서비스 조회/해지 메뉴 위치 문의,상담원이 가입 서비스 확인 후 해지 처리,어디서 해지하는지 몰라 상담원에게 문의함,불편,부가서비스 해지,VAS-MENU-01,부가서비스 조회/해지,ENTR-VAS-BASELINE-0064,110064,2026-09-04T22:04:00,synthetic-seeder
2026-09-05,110065,20260905,CALL-VAS-B-0065,2026-09-05T20:05:00,305,부가서비스를 해지하려는데 메뉴를 못 찾겠어요.,부가서비스 조회/해지 메뉴 위치 문의,상담원이 가입 서비스 확인 후 해지 처리,어디서 해지하는지 몰라 상담원에게 문의함,불편,부가서비스 해지,VAS-MENU-01,부가서비스 조회/해지,ENTR-VAS-BASELINE-0065,110065,2026-09-05T22:05:00,synthetic-seeder
2026-09-06,110066,20260906,CALL-VAS-B-0066,2026-09-06T20:06:00,306,부가서비스를 해지하려는데 메뉴를 못 찾겠어요.,부가서비스 조회/해지 메뉴 위치 문의,상담원이 가입 서비스 확인 후 해지 처리,어디서 해지하는지 몰라 상담원에게 문의함,불편,부가서비스 해지,VAS-MENU-01,부가서비스 조회/해지,ENTR-VAS-BASELINE-0066,110066,2026-09-06T22:06:00,synthetic-seeder
2026-09-07,110067,20260907,CALL-VAS-B-0067,2026-09-07T20:07:00,307,부가서비스를 해지하려는데 메뉴를 못 찾겠어요.,부가서비스 조회/해지 메뉴 위치 문의,상담원이 가입 서비스 확인 후 해지 처리,어디서 해지하는지 몰라 상담원에게 문의함,불편,부가서비스 해지,VAS-MENU-01,부가서비스 조회/해지,ENTR-VAS-BASELINE-0067,110067,2026-09-07T22:07:00,synthetic-seeder
2026-09-08,110068,20260908,CALL-VAS-B-0068,2026-09-08T20:08:00,308,부가서비스를 해지하려는데 메뉴를 못 찾겠어요.,부가서비스 조회/해지 메뉴 위치 문의,상담원이 가입 서비스 확인 후 해지 처리,어디서 해지하는지 몰라 상담원에게 문의함,불편,부가서비스 해지,VAS-MENU-01,부가서비스 조회/해지,ENTR-VAS-BASELINE-0068,110068,2026-09-08T22:08:00,synthetic-seeder
2026-09-09,110069,20260909,CALL-VAS-B-0069,2026-09-09T20:09:00,309,부가서비스를 해지하려는데 메뉴를 못 찾겠어요.,부가서비스 조회/해지 메뉴 위치 문의,상담원이 가입 서비스 확인 후 해지 처리,어디서 해지하는지 몰라 상담원에게 문의함,불편,부가서비스 해지,VAS-MENU-01,부가서비스 조회/해지,ENTR-VAS-BASELINE-0069,110069,2026-09-09T22:09:00,synthetic-seeder
