table,source_id,ordinal,original_field,logical_name,original_type,csv_field,csv_reader_type,status,duckdb_fields,duckdb_types,conversion,original_line
L1DA_GA_REP_CHNL_BEHV_L,hackathon_app_behavior,1,CZ_LNK_KEY,CSZ_연결키,INT64,CZ_LNK_KEY,str / None,CSV만 유지,,,"CSV 물리명 유지, Source 매핑 없음",6
L1DA_GA_REP_CHNL_BEHV_L,hackathon_app_behavior,2,P_YYYYMMDD,기준일(파티션키),DATE,P_YYYYMMDD,str / None,CSV만 유지,,,"CSV 물리명 유지, Source 매핑 없음",8
L1DA_GA_REP_CHNL_BEHV_L,hackathon_app_behavior,3,GA_LNK_KEY,GA연결키,INT64,GA_LNK_KEY,str / None,CSV만 유지,,,"CSV 물리명 유지, Source 매핑 없음",10
L1DA_GA_REP_CHNL_BEHV_L,hackathon_app_behavior,4,BASE_DT,기준일자,STRING,BASE_DT,str / None,CSV만 유지,,,"CSV 물리명 유지, Source 매핑 없음",12
L1DA_GA_REP_CHNL_BEHV_L,hackathon_app_behavior,5,CLT_ID,클라이언트ID,STRING,CLT_ID,str / None,CSV만 유지,,,"CSV 물리명 유지, Source 매핑 없음",14
L1DA_GA_REP_CHNL_BEHV_L,hackathon_app_behavior,6,DMNS_CLT_ID,디멘젼클라이언트ID,STRING,,,CSV 미생성,,,현재 합성 CSV 및 분석용 DuckDB에 없음,18
L1DA_GA_REP_CHNL_BEHV_L,hackathon_app_behavior,7,SESN_ID,세션ID,STRING,SESN_ID,str / None,분석 필드 변환,dim_session_id,VARCHAR,"dim_session_id: 공통 이벤트 dimensions.session_id에서 평탄화; 문자열 유지, 제외 패턴 일치 값은 미노출",24
L1DA_GA_REP_CHNL_BEHV_L,hackathon_app_behavior,8,PTPN_SESN_YN,참여세션여부,STRING,,,CSV 미생성,,,현재 합성 CSV 및 분석용 DuckDB에 없음,32
L1DA_GA_REP_CHNL_BEHV_L,hackathon_app_behavior,9,PTPN_SESN_TM,참여세션시간,NUMERIC,PTPN_SESN_TM,str / None,CSV만 유지,,,"CSV 물리명 유지, Source 매핑 없음",36
L1DA_GA_REP_CHNL_BEHV_L,hackathon_app_behavior,10,PTPN_SESN_EVET_YN,참여세션이벤트여부,STRING,,,CSV 미생성,,,현재 합성 CSV 및 분석용 DuckDB에 없음,40
L1DA_GA_REP_CHNL_BEHV_L,hackathon_app_behavior,11,VSTR_ID,방문자ID,STRING,,,CSV 미생성,,,현재 합성 CSV 및 분석용 DuckDB에 없음,44
L1DA_GA_REP_CHNL_BEHV_L,hackathon_app_behavior,12,CUST_NO,고객번호,STRING,CUST_NO,str / None,분석 필드 변환,customer_id,VARCHAR,customer_id: 문자열 고객키의 SHA-256 앞 24자리 + customer_ 접두사,46
L1DA_GA_REP_CHNL_BEHV_L,hackathon_app_behavior,13,ENTR_NO,가입번호,STRING,ENTR_NO,str / None,CSV만 유지,,,"CSV 물리명 유지, Source 매핑 없음",48
L1DA_GA_REP_CHNL_BEHV_L,hackathon_app_behavior,14,DCRM_EVET_ENTR_NO,DCRM이벤트가입번호,STRING,,,CSV 미생성,,,현재 합성 CSV 및 분석용 DuckDB에 없음,50
